댓글,시간,년,월,일,시,d
사진느낌이 너무 좋아요!!!!! 👍🏻👍🏻,2019-05-15T10:22:48.000Z,2019,05,15,10,0
압!!~소바도~만두도~♥♥♥♥,2019-05-15T10:22:48.000Z,2019,05,15,10,0
맛점,2019-04-21T05:59:30.000Z,2019,04,21,05,0
겓👍,2019-05-14T09:39:57.000Z,2019,05,14,09,0
와씻... 저번에산거보다 싼느낌...,2019-05-14T09:39:57.000Z,2019,05,14,09,0
아.. 이래서 어제 친누나가 비비고만두사놀까? 이런거엿군요😲😲,2019-05-14T09:39:57.000Z,2019,05,14,09,0
꺄~~~~♡♡♡♡♡언니 르쿠르제 해시테그 넣어주세요 넘예뻐요,2019-04-01T08:16:13.000Z,2019,04,01,08,0
ㅎㅎㅎ 그러게요...뻗을 만도 합니다용!!맛나 보이네요~~~~☕️🥟🥟🍲🍛전 지금 입학식 하러 갑니당!!ㅋㅋㅋ,2019-04-01T08:16:13.000Z,2019,04,01,08,0
곧 권사님 되겄어~~ 교회서 귀한 보배일듯👍👍 병 안나게 조심조심!!,2019-04-01T08:16:13.000Z,2019,04,01,08,0
김말이가 비비고꺼야? 왜케 맛나보임? 은화 역시 넘나 열심이야~~ 하나님이 몇만배 축복하심이 느껴짐~~❤️,2019-04-01T08:16:13.000Z,2019,04,01,08,0
언니 저두 에어후라이어에 돌려서 먹어요 맛나죠  내 살들 어쩌죠 ㅜ,2019-04-01T08:16:13.000Z,2019,04,01,08,0
어쩜 저리도 맛나게먹을까요 🤗,2019-02-03T00:54:42.000Z,2019,02,03,00,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어쩜 저렇게 복스럽게 먹어요 ㅋㅋㅋ준수진짜 너무 귀요미😍,2019-02-03T00:54:42.000Z,2019,02,03,00,1
으악 ㅋㅋㅋㅋ 쪼끔 쌌다고 얘기했어요??? ㅋㅋㅋ 아 넌 어쩜 모든게 귀엽니ㅠㅠ,2019-02-03T00:54:42.000Z,2019,02,03,00,1
역쉬 아침엔 만두지여👍👍 ㅋㅋ쭌쭈의 먹방은 늘 멋지지요♡ 준수네 즐거운 설날보내세요😘,2019-02-03T00:54:42.000Z,2019,02,03,00,1
하정우 먹방이후 최고네요😆🥰,2019-02-03T00:54:42.000Z,2019,02,03,00,1
쪼금ㅋㅋㅋㅋㅋ귀염디 쭌쭈😍,2019-02-03T00:54:42.000Z,2019,02,03,00,1
연휴 잘 보내세욤😍😍😍,2019-02-03T00:54:42.000Z,2019,02,03,00,1
보기만 해도 배부른 든든먹방모드네요ㅋㅋㅋ 새해복 많이 받으세요^^,2019-02-03T00:54:42.000Z,2019,02,03,00,1
어~ 갑자기 만두가 먹고 싶어지네ㅋㅋㅋ,2019-02-03T00:54:42.000Z,2019,02,03,00,1
만두사랑황주쭈ㅋㅋㅋㅋ비비고취업하좌ㅋㅋㅋㅋㅋㅋ,2019-02-03T00:54:42.000Z,2019,02,03,00,1
앍ㅋㅋ이불4개 ㅋㅋ엄마뽜이팅하시라고ㅋㅋ그래도 조금만쌋다고얘기하는게 그저귀여워서웃음나네요ㅋㅋㅋ,2019-02-03T00:54:42.000Z,2019,02,03,00,1
앜ㅋㅋㅋㅋㅋㅋ징쨔 준수......사람 웃게하는데 뭐 있는듯💕,2019-02-03T00:54:42.000Z,2019,02,03,00,1
어쩜 이렇게ㅠㅠ👍🏻👍🏻👍🏻,2019-04-11T11:49:52.000Z,2019,04,11,11,0
👏😀👏,2019-05-16T10:48:36.000Z,2019,05,16,10,0
안녕하세요 ! 짱구아빠중고차 최정진 입니다. 페이지내에 고객님들과 함께한 소중한 후기들이 있습니다. 중고차 시세나 궁금한점 있으시면 언제든지 문의주세요 ! 감사합니다.,2019-05-16T10:48:36.000Z,2019,05,16,10,0
사진들이 다 느낌있네요! 저랑도 소통해주실래요??,2019-05-16T10:48:36.000Z,2019,05,16,10,0
#냠냠#먹방#먹방스타그램#먹스타그램#맛스타그램#주부#요리#요리스타그램#푸드#푸드스타그램#온더테이블#맛있다#맛있다그램#플레이팅#JMT#맛점#맛저#밥상#food#만두#고기만두#비비고#비비고만두#간식#집밥#홈쿡#왕만두#주방#디저트,2019-06-12T09:46:01.000Z,2019,06,12,09,0
이건,2019-06-12T09:46:01.000Z,2019,06,12,09,0
비비고왕만두도 짱 맛있어요^^,2019-06-12T09:46:01.000Z,2019,06,12,09,0
진짜부지런해👍,2019-06-12T09:46:01.000Z,2019,06,12,09,0
다이어트해야하는데 군침 줄줄...,2019-02-20T11:19:03.000Z,2019,02,20,11,0
으악 얼큰하니 ....😢 이시간에 봐버렸다니...ㅜㅜㅜ,2019-02-20T11:19:03.000Z,2019,02,20,11,0
남매키우는맘이예용~소통하며지내용😊,2019-02-20T11:19:03.000Z,2019,02,20,11,0
안녕하세요:) 비가 내린후라 그런지 날씨가 춥네요!  감기조심하시구요~ 소통하고 싶은데 선팔해도 될까요?❤️,2019-02-20T11:19:03.000Z,2019,02,20,11,0
떡만둣국~~넘맛있겠어요~~~~💗,2019-02-20T11:19:03.000Z,2019,02,20,11,0
이야얼큰할거같은 떡만두국이네용🙂❤️,2019-02-20T11:19:03.000Z,2019,02,20,11,0
맛잇겟어용〰〰💛 소통하고 싶어서 선팔하고 갑니당💛,2019-02-20T11:19:03.000Z,2019,02,20,11,0
저도 맨날먹어요 떡만두국 ㅠㅠ♡,2019-02-20T11:19:03.000Z,2019,02,20,11,0
색이 남다르네요~~ 양념이 뭐일까요? 맛잇어보여요~~,2019-02-20T11:19:03.000Z,2019,02,20,11,0
저도 오늘은 떡 만국국 해먹어야겠어요 😆,2019-02-20T11:19:03.000Z,2019,02,20,11,0
맞팔하고 친하게 지내요~,2019-02-20T11:19:03.000Z,2019,02,20,11,0
👍👍👍,2019-01-11T05:34:38.000Z,2019,01,11,05,0
아.. 진짜 언냐도 좀 불러라,2019-01-11T05:34:38.000Z,2019,01,11,05,0
잘보고가요~^^,2018-12-26T16:39:46.000Z,2018,12,26,16,0
#like,2018-12-26T16:39:46.000Z,2018,12,26,16,0
우왕 제대로 먹방 사진이에요~~ 하나같이 다 맛나보여요😆😋,2019-05-22T15:15:25.000Z,2019,05,22,15,0
와 홍어를 먹네요 지림~~~~ 언니만듀 또먹고싶다🥟🥟🥟🥟🥟,2019-05-08T15:52:02.000Z,2019,05,08,15,0
÷,2019-05-08T15:52:02.000Z,2019,05,08,15,0
저 안주 두개에 저 소주 두병이 다 들어가나...?,2019-05-08T15:52:02.000Z,2019,05,08,15,0
와 주량이...,2019-05-08T15:52:02.000Z,2019,05,08,15,0
맨날 술이고 ㅋㅋㅋ,2019-05-08T15:52:02.000Z,2019,05,08,15,0
좋은하루 되세요,2019-05-08T15:52:02.000Z,2019,05,08,15,0
이와중에 저 만두 눈에들어오는거 뭐얔ㅋㅋㅋㅋㅋ,2019-05-08T15:52:02.000Z,2019,05,08,15,0
사진잘봤어요~✨,2019-05-08T15:52:02.000Z,2019,05,08,15,0
피드 잘보고 갑니다 ~~,2019-03-04T09:32:32.000Z,2019,03,04,09,0
안녕하세요 ! 짱구아빠중고차 최정진 입니다. 페이지내에 고객님들과 함께한 소중한 후기들이 있습니다. 중고차 시세나 궁금한점 있으시면 언제든지 문의주세요 ! 감사합니다.,2019-03-04T09:32:32.000Z,2019,03,04,09,0
노브랜드 닭꼬치도 그렇게 맛있을 수 가 없어요😍,2019-03-04T09:32:32.000Z,2019,03,04,09,0
😋,2018-12-21T14:00:47.000Z,2018,12,21,14,0
ㅋㅋㅋㅋ쓰다보면 닦는거 귀찮아짐,2019-03-28T10:48:07.000Z,2019,03,28,10,0
잘보구가요~~시간가는줄 모르겠네요ㅎㅎ또올게요~~ 좋은사진 앞으로도 많이 올려주세요^^,2019-03-28T10:48:07.000Z,2019,03,28,10,0
떡볶이와 만두 맛있게드셨나용?😍너무 맛나보여요~~👍👍😀,2019-06-03T10:54:02.000Z,2019,06,03,10,0
캬 떡볶이에 비비고 👍👍 안주로 딱이네영 ㅎㅎ,2019-06-03T10:54:02.000Z,2019,06,03,10,0
군침도네요 다이어트중인데 배고프네용😭,2019-06-03T10:54:02.000Z,2019,06,03,10,0
떡뽀끼에는 무슨 조미료를 넣나요?🤣,2019-06-03T10:54:02.000Z,2019,06,03,10,0
집떡볶이요???와 저 떡볶이 진짜진짜 좋아하는데 ㅠㅠ군침도네용,2019-06-03T10:54:02.000Z,2019,06,03,10,0
와 맛나겠다 떡보다 오뎅 좋아해서 오뎅 왕창 들어간거 완전 사랑함요🤗,2019-06-03T10:54:02.000Z,2019,06,03,10,0
헉ㅋ... 순간 전 어묵만 있는건줄알았어요.... 어묵볶음인가....?했었어욬ㅋㅋㅋ 떡꾹떡이 슬쩍 보이네여!!,2019-06-03T10:54:02.000Z,2019,06,03,10,0
짠 ✨,2019-06-03T10:54:02.000Z,2019,06,03,10,0
아우 지금 모유 수유중이라 매운게 땡기는데 ㅋ 넘나 맛나고여요,2019-06-03T10:54:02.000Z,2019,06,03,10,0
#데이트 #데일리룩 #며느리룩 #하객룩 #새댁 #결혼식 #직장인 #워킹맘 #신혼 #신혼부부 #주부 #주부생활 #오오티디 #자유부인,2019-01-12T12:16:09.000Z,2019,01,12,12,0
비비고 갈비만두도 존맛탱인데 이것도요..? 에어프라이어 사고싶어요 저 만두때뮨에....,2019-01-12T12:16:09.000Z,2019,01,12,12,0
으아 저도 먹고싶어요 😌,2019-01-12T12:16:09.000Z,2019,01,12,12,0
그 사랑 저도 나눠쥬세요🙈♥️♥️,2019-01-12T12:16:09.000Z,2019,01,12,12,0
나도 요즘 만두가 왜케 맛있지😋😋,2019-01-12T12:16:09.000Z,2019,01,12,12,0
나 비비고만두 옴총 좋아해❤️😍,2019-01-12T12:16:09.000Z,2019,01,12,12,0
❤️,2019-01-12T12:16:09.000Z,2019,01,12,12,0
#daily #뽀또부부 #뽀또일상 #뽀또데이트 #뽀또맛집 #뽀또여행 #여행에미치다 #일상 #럽스타그램 #부부스타그램 #부부 #신혼부부 #주말 #주말저녁 #메밀감자면 #비비고만두 #에어프라이어 #에어프라이어만두 #에어프라이어요리 #dailyfoodfeed,2019-01-27T10:28:26.000Z,2019,01,27,10,0
에어프라이어👍 비비고👍,2019-01-27T10:28:26.000Z,2019,01,27,10,0
"안녕하세용^^ 저는 아이 기다리고있는 주부에용! 친해지고 싶어 선팔합니당, 맞팔 부탁드려요♥",2019-01-08T11:07:50.000Z,2019,01,08,11,0
ㅋㅋㅋㅋㅋㄱ,2019-01-17T05:04:49.000Z,2019,01,17,05,0
ㅋㅋㅋㅋ 맙소사,2019-01-17T05:04:49.000Z,2019,01,17,05,0
ㅋㅋㅋㅋㅋ만두스펀지까짘ㅋㅋㅋㅋㅋㅋㅋㅋ,2019-01-17T05:04:49.000Z,2019,01,17,05,0
업소용주문인가요?😁😁,2019-01-17T05:04:49.000Z,2019,01,17,05,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ오디서 삿어?ㅋㅋㅋㅋㅋ,2019-01-17T05:04:49.000Z,2019,01,17,05,0
ㅋㅋㅋㅋㅋㅋㅋㅋ올드보이되것네잉,2019-01-17T05:04:49.000Z,2019,01,17,05,0
여긴 비비고 왕교자 김치 두봉 4590원 코카콜라 600미리 990원,2019-01-17T05:04:49.000Z,2019,01,17,05,0
😂😂😂😂😂,2019-01-17T05:04:49.000Z,2019,01,17,05,0
y,2019-06-19T16:44:53.000Z,2019,06,19,16,0
자주 소통해요,2019-06-19T16:44:53.000Z,2019,06,19,16,0
자주들릴께요~ 소통하며지내요,2019-06-19T16:44:53.000Z,2019,06,19,16,0
반가워요:),2019-06-19T16:44:53.000Z,2019,06,19,16,0
맨두.....🥟,2019-06-19T16:44:53.000Z,2019,06,19,16,0
쪄도맛있고 구워도맛있는~♡,2019-03-09T01:51:45.000Z,2019,03,09,01,1
여성 데일리쇼핑몰 Urban_Græy. 꾸준히 업데이트되는 겨울시즌 신상품 많으니 구경하고가세요!🎉,2019-03-09T01:51:45.000Z,2019,03,09,01,1
여성 데일리룩 전문 showroom 입니다. 신상품 계속해서 업뎃되고있어요. 구경한번하고가세요^^😃,2019-03-09T01:51:45.000Z,2019,03,09,01,1
고급스런 여성의류전문쇼핑몰. 쇼핑몰 오픈 및 신상품 많이 업뎃되고있어요! 구경한번 하고가세요~!😄,2019-03-09T01:51:45.000Z,2019,03,09,01,1
